авиакомпания	Derivative
шатер	Derivative
аппарат	Derivative
пакет	Derivative
крапива	Unmotivated
храмик	Derivative
перекур	Derivative
дружина	Derivative
подарочек	Derivative
кафешка	Derivative
заварник	Derivative
костровище	Derivative
игольник	Derivative
фолк-группа	Compound
боярышница	Derivative
ершик	Derivative
кустик	Derivative
кустик	Derivative
кончик	Derivative
павильончик	Derivative
лесопосадка	Derivative
комнатка	Derivative
рисунок	Derivative
глициния	Derivative
пивзавод	Derivative
площадочка	Derivative
заборчик	Derivative
обелиск	Unmotivated
фигурка	Derivative
кроватка	Derivative
плагинчик	Derivative
ортопедия	Derivative
маркер	Derivative
работаа	Derivative
вектор	Unmotivated
одеялко	Derivative
песня	Derivative
сюрприз	Derivative
приборчик	Derivative
свидание	Derivative
светодиодик	Derivative
подсолнушек	Derivative
эпизодик	Derivative
парничок	Derivative
словарик	Derivative
икона	Derivative
елку	Unmotivated
павильон	Derivative
зал	Derivative
футболка	Derivative
паскудник	Derivative
войн	Unmotivated
кулер	Derivative
неотложки	Derivative
рычажок	Derivative
скрап-работа	Compound
значок	Derivative
